"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Samd3",2.07011441184137e-06,-0.28998889086113,0.253,0.339,0.0345916118218693
"Etv6",2.43219897438638e-06,-0.313748141590244,0.185,0.282,0.0406420448619964
"Igfbp5",2.43905908424826e-06,-0.342775243240962,0.205,0.221,0.0407566772977885
"Lclat1",2.48051396132532e-06,-0.294121804055116,0.129,0.217,0.0414493882937462
"A330023F24Rik",2.7450403679644e-06,-0.259423970050595,0.225,0.271,0.0458696245486851
"Lcn2",2.77473916394215e-06,-0.64621220316655,0.295,0.304,0.0463658914294733
"Vps54",2.96241493594833e-06,-0.284891064495398,0.701,0.703,0.0495019535796966
"Sntb1",3.08953056674569e-06,-0.30959352756767,0.558,0.586,0.0516260557703205
"Gm20275",3.34779924939513e-06,-0.302335278257654,0.321,0.343,0.0559417254573926
"Mt1",3.76751168129597e-06,0.349689443423778,0.163,0.066,0.0629551201944556
"Gphn",3.8450311704315e-06,-0.402936246766161,0.898,0.856,0.0642504708579103
"Tcrg-V1",4.16102387638959e-06,-0.378201955521427,0.131,0.249,0.0695307089744701
"Sla",5.38059560237402e-06,-0.316859977487967,0.552,0.58,0.0899097525156699
"Alcam",5.56919662927623e-06,-0.334511197952495,0.177,0.243,0.0930612756752057
"Il31ra",6.1928725356846e-06,-0.302353703549912,0.884,0.816,0.10348290007129
"Rora",6.40550818008326e-06,-0.438611233197873,0.219,0.293,0.107036041689191
"Emp3",9.29104465876703e-06,-0.293155401072123,0.219,0.298,0.155253356247997
"Icos",9.44290601767016e-06,-0.278798606667211,0.211,0.267,0.157790959555268
"Hsph1",9.5890680334995e-06,-0.38686724948919,0.341,0.405,0.160233326839777
"Dnajb1",9.64819778040799e-06,-0.258686529384218,0.466,0.453,0.161221384910617
"Ccl3",1.39485245248192e-05,0.313608310624031,0.211,0.105,0.23307984480973
"Cd8b1",1.49272163535896e-05,-0.324883886422841,0.655,0.729,0.249433785268482
"Tespa1",1.77398067755853e-05,-0.253502180768011,0.183,0.263,0.29643217122003
"Pik3r5",1.79936269727254e-05,-0.282897212030047,0.247,0.322,0.300673506714241
"Adamts6",2.21023682064372e-05,-0.369867287618224,0.291,0.328,0.369330572729565
"Sgk1",2.28240498583769e-05,-0.254831080707787,0.086,0.166,0.381389873133478
"Trbv1",2.33784494452133e-05,0.493035666202331,0.43,0.346,0.390653890229514
"Arsb",2.3840026531964e-05,-0.267751246290249,0.277,0.324,0.398366843349118
"Lars2",2.79077832227557e-05,-0.515618121915639,0.964,0.945,0.466339057652247
"H2-Ab1",2.89451811324369e-05,-0.394390406386054,0.104,0.149,0.483673976723021
"Trps1",2.99116689326715e-05,-0.3273452108212,0.462,0.484,0.499823987864941
"Csf1",3.22243143747707e-05,0.292526753779263,0.43,0.295,0.538468293202418
"Adgre5",7.00902107640858e-05,-0.404235028312306,0.382,0.446,1
"Ar",7.12919243876413e-05,-0.250533329945175,0.273,0.324,1
"Fosb",8.75780316768785e-05,-0.275396565964163,0.052,0.12,1
"Ltf",0.000100375583147068,-0.497872257975213,0.263,0.252,1
"Kcnq5",0.000140998789815189,-0.391109372545441,0.243,0.341,1
"Zfp36",0.000227314098189771,-0.250207157339797,0.169,0.234,1
"Cmss1",0.000267755090187868,-0.259523872486734,1,0.994,1
"Tcrg-C4",0.000325901854497489,-0.357808354557002,0.229,0.333,1
"Klrk1",0.000426052586729827,-0.31639717795563,0.163,0.243,1
"Eomes",0.000435491318637286,-0.288998470881187,0.319,0.37,1
"Ifitm3",0.000552072722015381,-0.286249797350499,0.09,0.109,1
"Trbc1",0.000676215453185405,-0.251263084908489,0.39,0.403,1
"Hexb",0.00178627052608161,-0.287415963044684,0.976,0.937,1
"Fos",0.00422771020749496,-0.30004537933731,0.169,0.23,1
"Immp2l",0.0055793943761245,-0.265817612301514,0.197,0.247,1
"Wfdc18",0.0160837315562561,-0.299557877870156,0.293,0.297,1
"Gm42418",0.0171296930408803,-0.312836007170467,1,1,1
"Trbv19",0.0339564512417872,-0.383090823110967,0.129,0.186,1
"Klf2",0.043303955129406,-0.253664260508774,0.082,0.11,1
"Dusp1",0.0478716817249984,-0.277921006227282,0.476,0.51,1
"Xcl1",0.0508010042424258,-0.273881237357223,0.448,0.486,1
"AY036118",0.302194956951109,-0.428256152076811,0.968,0.963,1
