"","x"
"1061","1810059C17Rik"
"1062","Mllt10"
"1063","Dnajc1"
"1064","Commd3"
"1065","Bmi1"
"1066","Spag6"
"1067","Gm20539"
"1068","Pip4k2a"
"1069","Armc3"
"1070","Msrb2"
"1071","Otud1"
"1072","Etl4"
"1073","Gm13362"
"1074","Arhgap21"
"1075","Gm13375"
"1076","Enkur"
"1077","Thnsl1"
"1078","Gpr158"
"1079","Apbb1ip"
"1080","Pdss1"
"1081","Abi1"
"1082","Acbd5"
"1083","Mastl"
"1084","Yme1l1"
"1085","4931423N10Rik"
"1086","Spopl"
"1087","Hnmt"
"1088","Il1rn"
"1089","Psd4"
"1090","Ehmt1"
"1091","Arrdc1"
"1092","Zmynd19"
"1093","Dph7"
"1094","Mrpl41"
"1095","Pnpla7"
"1096","Nsmf"
"1097","Gm13387"
"1098","Nrarp"
"1099","Gm38287"
"1100","Tor4a"
"1101","Nelfb"
"1102","Fam166a"
"1103","Tubb4b"
"1104","Cysrt1"
"1105","Rnf208"
"1106","Ndor1"
"1107","Tmem203"
"1108","Tprn"
"1109","Ssna1"
"1110","Anapc2"
"1111","Lrrc26"
"1112","Grin1"
"1113","Grin1os"
"1114","Man1b1"
"1115","Dpp7"
"1116","Uap1l1"
"1117","Sapcd2"
"1118","Entpd2"
"1119","Npdc1"
"1120","Abca2"
"1121","Paxx"
"1122","Clic3"
"1123","C8g"
"1124","Fbxw5"
"1125","Traf2"
"1126","Edf1"
"1127","Mamdc4"
"1128","Phpt1"
"1129","Rabl6"
"1130","Fcnaos"
"1131","Tmem141"
"1132","Bmyc"
"1133","Camsap1"
"1134","Ubac1"
"1135","Nacc2"
"1136","Tmem250-ps"
"1137","Qsox2"
"1138","Ccdc187"
"1139","Gpsm1"
"1140","Dnlz"
"1141","Card9"
"1142","Gm13562"
"1143","Snapc4"
"1144","Gm13563"
"1145","Entr1"
"1146","Pmpca"
"1147","Inpp5e"
"1148","Sec16a"
"1149","0610009E02Rik"
"1150","Notch1"
"1151","Egfl7"
"1152","Agpat2"
"1153","Dipk1b"
"1154","Snhg7os"
"1155","Surf6"
"1156","Med22"
"1157","Surf1"
"1158","Surf2"
"1159","Surf4"
"1160","Stkld1"
"1161","Rexo4"
"1162","Cacfd1"
"1163","Slc2a6"
"1164","Gm13398"
"1165","Adamtsl2"
"1166","Sardh"
"1167","Sardhos"
"1168","Vav2"
"1169","Brd3os"
"1170","Brd3"
"1171","Wdr5"
"1172","Gm13421"
"1173","Rxra"
"1174","Col5a1"
"1175","Olfm1"
"1176","Ppp1r26"
"1177","1700007K13Rik"
"1178","Mrps2"
"1179","Ralgds"
"1180","Cel"
"1181","Gm13381"
"1182","Gtf3c5"
"1183","Gfi1b"
"1184","Tsc1"
"1185","Spaca9"
"1186","Gtf3c4"
"1187","Ddx31"
"1188","Cfap77"
"1189","Ttf1"
"1190","Setx"
"1191","Ntng2"
"1192","Med27"
"1193","Gm13402"
"1194","Rapgef1"
"1195","Trub2"
"1196","Coq4"
"1197","Slc27a4"
"1198","Urm1"
"1199","2600006K01Rik"
"1200","Cercam"
"1201","Odf2"
"1202","Gle1"
"1203","Sptan1"
"1204","Wdr34"
"1205","Set"
"1206","Pkn3"
"1207","Zdhhc12"
"1208","Zer1"
"1209","Tbc1d13"
"1210","Endog"
"1211","Spout1"
"1212","Kyat1"
"1213","1700084E18Rik"
"1214","Lrrc8a"
"1215","Phyhd1"
"1216","Dolk"
"1217","Nup188"
"1218","Gm14471"
"1219","Sh3glb2"
"1220","Miga2"
"1221","Dolpp1"
"1222","Crat"
"1223","Gm16323"
"1224","Ptpa"
"1225","Ier5l"
"1226","Cstad"
"1227","9330198N18Rik"
"1228","Gm14488"
"1229","1700001O22Rik"
"1230","Ntmt1"
"1231","Asb6"
"1232","Prrx2"
"1233","Ptges"
"1234","Tor1b"
"1235","Tor1a"
"1236","BC005624"
"1237","Usp20"
"1238","Fnbp1"
"1239","D330023K18Rik"
"1240","Gpr107"
"1241","Ncs1"
"1242","Hmcn2"
"1243","Ass1"
"1244","Fubp3"
"1245","Exosc2"
"1246","Gm13427"
"1247","Abl1"
"1248","Qrfp"
"1249","Aif1l"
"1250","Nup214"
"1251","Fam78a"
"1252","Plpp7"
"1253","Prrc2b"
"1254","Gm13610"
"1255","Pomt1"
"1256","Uck1"
"1257","Swi5"
"1258","Golga2"
"1259","Dnm1"
"1260","Ciz1"
"1261","1110008P14Rik"
"1262","Lcn2"
"1263","Ptges2"
"1264","Slc25a25"
"1265","Naif1"
"1266","Fam102a"
"1267","Dpm2"
"1268","St6galnac4"
"1269","St6galnac6"
"1270","Ak1"
"1271","Eng"
"1272","Fpgs"
"1273","Cdk9"
"1274","Sh2d3c"
"1275","Ttc16"
"1276","Tor2a"
"1277","Ptrh1"
"1278","Cfap157"
