"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Fcrlb",6.09935577999622,6.07982014927583,1.41609321647563,4.29337566096622,1.75976883623268e-05,4.62381981341843e-05,"UP"
"Rffl",1006.22401008141,-0.405829866993366,0.0945606451155844,-4.29174173354367,1.77277069779724e-05,4.65736983559908e-05,"NONE"
"Polr1e",1281.98549777525,0.302748018310692,0.07054337202157,4.29165787847682,1.77344043166358e-05,4.65851669997941e-05,"NONE"
"4632428N05Rik",73.6195756203504,-1.12235969402354,0.261613138712359,-4.2901503324631,1.78552210751527e-05,4.68963648985438e-05,"DOWN"
"Syde2",1778.78657815424,-0.287121925115977,0.0669391066165824,-4.28930022565986,1.79236951331303e-05,4.7070022042138e-05,"NONE"
"Tmem179",55.4894742445477,1.36021224179286,0.317122093711176,4.28923833680189,1.79286898893634e-05,4.70769503049174e-05,"UP"
"Trpv4",1504.64751224458,-0.297010986078778,0.0692601388000809,-4.28833945793985,1.80013838047883e-05,4.72616170677167e-05,"NONE"
"A730013G03Rik",11.0721899423261,5.03459845387551,1.17434721457934,4.28714641749199,1.80983008620795e-05,4.75098234325574e-05,"UP"
"Thoc2",5178.61006999906,-0.278199095561204,0.0649017875075617,-4.28646276543294,1.81540614084293e-05,4.76499388721839e-05,"NONE"
"Ankrd49",1097.01054436296,0.321194394893439,0.0749472198104748,4.28560786785247,1.8224019527246e-05,4.78272777319748e-05,"NONE"
"Adam3",120.325866281065,0.888633114435791,0.207357905444602,4.28550390943836,1.82325441626263e-05,4.78433646048582e-05,"NONE"
"Nrf1",2727.15468144027,-0.234015215207352,0.054609805091717,-4.28522341023419,1.82555641768808e-05,4.78974790598304e-05,"NONE"
"1110004E09Rik",1632.01385093964,-0.296877627773548,0.0692825627227269,-4.28502665182393,1.82717282702064e-05,4.79335936512033e-05,"NONE"
"Kbtbd4",735.81922721139,-0.4369670240058,0.10198040134327,-4.28481373136542,1.82892354679622e-05,4.79732217625368e-05,"NONE"
"Spc25",1576.98240783115,-0.270167736473465,0.0630550498886458,-4.28463282402562,1.8304122970903e-05,4.80023154170246e-05,"NONE"
"Gm4832",6.07046600139244,6.0730671918597,1.41741073926417,4.28462055749095,1.83051328451166e-05,4.80023154170246e-05,"UP"
"Fut2",41.6420663365169,1.44199570935628,0.336573414353733,4.28434227975228,1.83280570456416e-05,4.80561222733669e-05,"UP"
"Csnk2a1",9500.49292934647,-0.196642132944611,0.045899399049951,-4.28419842121704,1.8339918667634e-05,4.80809127589666e-05,"NONE"
"Ppp1r37",1572.45677499643,-0.35371005386105,0.0825821435117366,-4.28312996998898,1.8428245214791e-05,4.83061349764966e-05,"NONE"
"Gm26534",17.6370400039334,2.63510259523802,0.615279286189026,4.28277475674432,1.845769957172e-05,4.83769961091907e-05,"UP"
"Rnf114",1927.07135889776,0.281935380542433,0.0658317047689979,4.28266868573036,1.84665036942094e-05,4.83937221958837e-05,"NONE"
"Wdfy1",1473.3046704813,-0.326835214727585,0.0763185016749458,-4.28251613376314,1.84791728501802e-05,4.84205713572992e-05,"NONE"
"Rasl11b",51.4189590729225,1.4372979021499,0.33564193812377,4.28223573664352,1.85024809059185e-05,4.847528669607e-05,"UP"
"Usp54",1598.02324964331,-0.358453347726357,0.0837117361478086,-4.28199633912074,1.85224030231308e-05,4.8521117911498e-05,"NONE"
"Acrv1",10.7821350858187,5.00594137741214,1.16963002765071,4.27993575666568,1.86947269165191e-05,4.89661150663829e-05,"UP"
"Ngfr",41.6498997130238,1.47017607814866,0.343589938187311,4.27886825180305,1.87846004314087e-05,4.91950659174425e-05,"UP"
"Pex11b",588.560233666115,-0.411258043703133,0.0961187218195195,-4.27864661449977,1.8803311657186e-05,4.92376139697999e-05,"NONE"
"Nsf",3981.96629107064,-0.22812768346124,0.0533196189032566,-4.27849426071772,1.88161840738396e-05,4.92648635967358e-05,"NONE"
"Trim46",55.710583956304,1.22965259429302,0.287420489283464,4.27823568653204,1.88380502983994e-05,4.93156507418588e-05,"UP"
"Rpl36a",4858.83632537396,-0.26022214867118,0.0608410705963167,-4.2770803689134,1.89360452895801e-05,4.95656940185983e-05,"NONE"
"Gm12794",16.8973506956207,2.46178902252845,0.575642337110356,4.27659479475794,1.89773768449994e-05,4.96673728851766e-05,"UP"
"BC034090",11.0625078318818,3.9772258708008,0.930307071717447,4.27517536060261,1.90986908622135e-05,4.99783268737803e-05,"UP"
"Foxd1",6.25498990226385,6.10893485624841,1.42927969003215,4.27413535562868,1.91880448850719e-05,5.02055759880919e-05,"UP"
"Xpnpep3",987.979128348603,0.338905262442061,0.079300464067868,4.27368573974566,1.9226797646344e-05,5.03003845705885e-05,"NONE"
"Gfpt2",10.727297295184,3.94300531678971,0.922700156106447,4.27333331493967,1.92572255313744e-05,5.03733919654663e-05,"UP"
"2210408I21Rik",152.580727939648,-0.820633051386096,0.19205475037562,-4.2729120200417,1.92936597515226e-05,5.04620896643318e-05,"NONE"
"Usp14",6948.97693079558,-0.267090970325526,0.0625232369812624,-4.27186728040921,1.93842938973135e-05,5.06925041480078e-05,"NONE"
"Nr4a1",639.966524437334,0.410029865606431,0.0959943850649276,4.27139426258212,1.9425462769457e-05,5.07935169823877e-05,"NONE"
"P3h1",687.681216706084,-0.374579009954856,0.0876965482106277,-4.27130847904298,1.94329378119336e-05,5.08064125990049e-05,"NONE"
"Gpd1",16.5269596404222,2.53153007193798,0.592811197261423,4.27038167233134,1.95138731667531e-05,5.10047139418628e-05,"UP"
"Smim8",229.978929263953,0.628995346318102,0.147292543611505,4.27038145241842,1.95138924091534e-05,5.10047139418628e-05,"NONE"
"Gid4",1909.55893883098,-0.372559911178345,0.0872598841003366,-4.26954396077301,1.95873042293036e-05,5.11898975129248e-05,"NONE"
"Defb48",6.10878936794144,6.09566311621658,1.42774668542135,4.26942900898255,1.95974010373668e-05,5.12095854183751e-05,"UP"
"Chmp4b",5088.51874117439,0.218483621205003,0.0511802067105181,4.26890853412873,1.96431790863355e-05,5.13224939324776e-05,"NONE"
"Phf20",3753.99460768472,-0.279843378439568,0.065591056452993,-4.2664868287359,1.98575212558915e-05,5.18757293224721e-05,"NONE"
"Fam96b",1618.1860055169,0.351036753763192,0.0822926065720947,4.26571436226968,1.99263585598638e-05,5.20461377185841e-05,"NONE"
"Snx19",1756.83608461287,-0.28257867164601,0.0662444406684255,-4.26569639345899,1.9927962527379e-05,5.20461377185841e-05,"NONE"
