"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Prrg4",28.854687982238,4.18290426185856,0.680490783946578,6.14689333130916,7.9015227179548e-10,1.04656159715647e-08,"UP"
"Rhox2e",24.5428271911929,8.08093329157735,1.31632490528347,6.13901116596827,8.30367312436712e-10,1.09902270167976e-08,"UP"
"Msh2",4025.65303236909,-0.401447277559205,0.0653988529387664,-6.13844524054703,8.33330276153422e-10,1.1021386398856e-08,"NONE"
"Man2b1",4122.84366073241,0.401578179510129,0.0654277861270124,6.13773143310338,8.37082201026675e-10,1.1062927249481e-08,"NONE"
"Nr4a1",1180.06947670687,0.674246733871634,0.109875855672389,6.13644125677618,8.43905489396616e-10,1.11449692129943e-08,"NONE"
"Gpr146",1587.02290323122,-0.478408265510237,0.0779725711845389,-6.13559689314312,8.48400367263235e-10,1.11961640303704e-08,"NONE"
"Ube2s",13058.0869911406,-0.356869124767655,0.0581856791646928,-6.13328107346736,8.60848561191925e-10,1.13521660953685e-08,"NONE"
"Apoe",40979.2332410259,0.454861601786522,0.0741694866212475,6.13273223946271,8.63824710769686e-10,1.13831224259068e-08,"NONE"
"Rraga",3406.6679526776,0.397951786462105,0.0649090503342795,6.13091370791386,8.73757907683618e-10,1.15056441283779e-08,"NONE"
"Ska1",1009.2524215077,-0.603995335831717,0.0985204782577652,-6.13065777301088,8.75164789157646e-10,1.15157948201223e-08,"NONE"
"Ptch1",2644.06171675758,-0.422857096827305,0.0690218880843419,-6.12642030757825,8.98781906671349e-10,1.18179703719618e-08,"NONE"
