Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000085121,5730437C11Rik,0,0,0,0,0,0
ENSMUSG00000085122,4933404K08Rik,0,0,0,20,24,22
ENSMUSG00000085123,Rubie,0,0,0,0,1,0
ENSMUSG00000085124,Gm12766,0,0,0,0,1,4
ENSMUSG00000085125,Gm16070,0,0,0,2,0,0
ENSMUSG00000085126,Gm12589,0,0,0,93,109,124
ENSMUSG00000085127,4930444E06Rik,2,1,1,2,2,6
ENSMUSG00000085129,5031425F14Rik,0,0,0,0,1,2
ENSMUSG00000085130,Gm11417,0,0,0,0,0,0
ENSMUSG00000085132,Gm12265,0,0,0,0,0.67,0
ENSMUSG00000085133,B930095G15Rik,313,352,406,102,119,152
ENSMUSG00000085134,Gm11659,0,0,0,0,0,0
ENSMUSG00000085135,Gm13713,1,1,0,0,1,0
ENSMUSG00000085139,A730046J19Rik,0,0,0,0,0,1
ENSMUSG00000085141,Gm13429,0,0,0,1,0,0
ENSMUSG00000085142,Gm12702,0,0,0,0,0,0
ENSMUSG00000085143,Gm11520,2,4,5,8,7,8
ENSMUSG00000085145,Gm11614,5,5,6,1,0,1
ENSMUSG00000085146,Eif2c5,0,0,0,1,3,5
ENSMUSG00000085147,Gm12609,0,0,0,1,1,2
ENSMUSG00000085148,Mir22hg,272,581.97,505,251,294.97,195
ENSMUSG00000085150,Gm16346,0,0,0,0,0,0
ENSMUSG00000085151,1110018N20Rik,0,0,0,0,0,0
ENSMUSG00000085152,Gm11496,1,0,2,7,4,15
ENSMUSG00000085154,C130046K22Rik,28,32,38,13,22,18
ENSMUSG00000085155,Gm11780,0,0,0,0,0,0
ENSMUSG00000085156,Gm11974,484,423,404,1138,1388,1930
ENSMUSG00000085157,4930515L19Rik,0,0,0,0,0,0
ENSMUSG00000085158,Gm14264,0,0,0,1,1,4
ENSMUSG00000085160,Gm13617,0,0,0,0,0,0
ENSMUSG00000085161,Gm7580,0,0,0,0,0,0
ENSMUSG00000085162,Gm12295,3,0,0,4,7,0
ENSMUSG00000085165,Gm12089,0,0,0,0,0,1
ENSMUSG00000085166,Gm15522,0,1,1,0,0,1
ENSMUSG00000085167,Gm12063,1,1,2,0,0,0
ENSMUSG00000085168,Gm16252,0,0,0,0,0,0
ENSMUSG00000085169,Gm10785,16.64,22.18,30.41,41.65,42,55.1
ENSMUSG00000085170,Lrrc75aos1,0,0,0,0,0,0
ENSMUSG00000085171,D830026I12Rik,0,0,0,0,2,1
ENSMUSG00000085172,Gm6542,3.6,0.22,3.25,7.16,3.55,8.7
ENSMUSG00000085173,Gm2869,0,0,0,0,0,0
ENSMUSG00000085174,Gm16206,16,10,15,11,15,24
ENSMUSG00000085175,Gm11423,24,41,43,30,33,50
ENSMUSG00000085176,Gm15397,0,0,0,0,0,0
ENSMUSG00000085177,Gm11209,0,0,0,0,0,0
ENSMUSG00000085178,Kdm6bos,8.17,1.07,3.11,1.04,2.02,1.07
ENSMUSG00000085179,Gm13645,0,0,0,0,0,1
ENSMUSG00000085180,AI838599,27.58,18.36,22.25,82.98,73.67,109.64
ENSMUSG00000085181,Gm12709,0,0,0,0,0,0
ENSMUSG00000085182,Gm13596,0,0,0,0,0,0
ENSMUSG00000085183,Gm12603,24,39,31,16,25,28
ENSMUSG00000085184,4933439K11Rik,2,3,1,2,4,2
ENSMUSG00000085185,BC028777,7,3,5,21,17,41
ENSMUSG00000085186,Gm14377,2,5,4,1,2,4
ENSMUSG00000085187,Gm13860,0,0,0,0,0,0
ENSMUSG00000085188,Gm11368,0,0,0,0,0,0
ENSMUSG00000085189,Gm11963,0,0,0,0,0,0
ENSMUSG00000085192,Gm12195,0,2,2,1,3,1
ENSMUSG00000085193,Gm13322,0,0,0,0,0,0
ENSMUSG00000085194,Platr32,3.41,2.59,0.02,0,1.77,0.51
ENSMUSG00000085196,Gm14963,6,18,7.99,27,30.01,40.35
ENSMUSG00000085197,1700125H03Rik,0,0,0,0,0,0
ENSMUSG00000085198,4933416E03Rik,0,0,0,1,0,0
ENSMUSG00000085199,Gm15346,0,0,0,1,0,0
ENSMUSG00000085201,Nr6a1os,0,2,1,3,0,2
ENSMUSG00000085202,Gm15620,0,0,0,0,0,0
ENSMUSG00000085203,Gm12927,0,0,0,0,0,0
ENSMUSG00000085204,Gm15327,0,1,0,0,1,0
ENSMUSG00000085205,Gm13185,2,0,1,1,2,2
ENSMUSG00000085206,Gm13380,3,1,2,1,0,0
ENSMUSG00000085207,Gm11767,3,1,3,2,2,6
ENSMUSG00000085208,Brip1os,4236.44,4738.83,4338.82,2599.13,3393.75,3751.86
ENSMUSG00000085209,Gm12637,0,0,0,0,0,0
ENSMUSG00000085211,B430219N15Rik,3,5,3,6,5,11.17
ENSMUSG00000085213,Gm13091,1,2,3,0,1,1
ENSMUSG00000085214,0610005C13Rik,1,6.01,1,1,3,1
ENSMUSG00000085217,6030471H07Rik,0,0,0,0,0,0
ENSMUSG00000085218,BB218582,0,0,0,0,0,0
ENSMUSG00000085221,Gm11309,0,0,0,0,0,0
ENSMUSG00000085222,Gm13974,0,0,0,0,0,0
ENSMUSG00000085223,Gm11210,0,0,0,1,0,0
ENSMUSG00000085224,Gm13425,0,0,0,1,0,0
ENSMUSG00000085225,Gm14637,0,0,0,0,0,0
ENSMUSG00000085226,Gm7855,1.07,0,0,1.12,0,1.05
ENSMUSG00000085227,6330418K02Rik,28.63,37.98,25.58,43.7,60.06,85.22
ENSMUSG00000085228,Gm14376,0,0,0,0,0,0
ENSMUSG00000085229,Gm11672,1,1,1,0,0,2
ENSMUSG00000085230,Gm16013,0,0,0,0,0,0
ENSMUSG00000085232,Gm11962,0,0,0,0,0,0
ENSMUSG00000085234,Gm15614,13.57,12.95,5.2,16.89,27.41,29.27
ENSMUSG00000085235,Gm12576,0,0,0,0,0,2
ENSMUSG00000085236,2610206C17Rik,3,0,3,4,2,1
ENSMUSG00000085237,Gm15406,7.46,3.31,7.16,10.14,5.69,4.01
ENSMUSG00000085238,4930479D17Rik,1,0,0,1,5,2
ENSMUSG00000085239,Gm12150,0,0,0,0,0,0
ENSMUSG00000085240,Gm12119,0,0,0,0,0,0
ENSMUSG00000085241,Snhg3,355.49,500.1,428.26,212.03,320.9,381.4
ENSMUSG00000085242,Gm11537,0,0,10.95,9.33,10.76,17.23
ENSMUSG00000085244,Spag17os,0,0,0,0,0,3
ENSMUSG00000085245,Gm11713,0,0,0,0,0,0
ENSMUSG00000085246,Gm15893,4,2,2,0,2,0
ENSMUSG00000085247,4930545L23Rik,0,3,0,2,0,4
